Query,Intent,Aggregation,Paid Status,split
How many invoices have we sent to freeman sporting good?,Invoice,Count,None,test
"This quarter, how many allowance did I sell?",Invoice,Count,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
"Last month, how many invoices were paid?",Invoice,Count,TRUE,train
What was our biggest expense Last quarter?,Expense,Max,None,train
How much we received from opening balance equity?,Invoice,Total,None,train
What were my outgoings during the This fiscal year?,Expense,Total,None,train
What were my expenses in the This month?,Expense,Total,None,train
What was the most recent invoice for gardening?,Invoice,Max,None,train
How much money did we make This week to date?,Sales,Total,None,train
"As of Last year, how many invoices for 0969 ocean view road were still outstanding?",Invoice,Count,FALSE,test
"This fiscal year to date, how much has rago travel agency paid us?",Sales,Total,TRUE,test
"Since This quarter, how many invoices have been late?",Invoice,Count,FALSE,train
What is my max bill for national eye care?,Bill,Max,None,train
What was the highest invoice I received from pam seitz?,Bill,Max,None,test
How much we received from office expense in today?,Invoice,Total,None,train
What's the average contract size for the Sales team?,Sales,Average,None,train
Number of invoices created for bank charges in yesterday?,Invoice,Count,None,train
"In the Last quarter, what has been my highest sales from barnett design?",Sales,Max,None,train
How much did we spend on equipment rental Last 12 months?,Expense,Total,None,train
What was the min bill I received from diego's road warrior bodyshop?,Bill,Min,None,train
What is my min sales for duke basketball camp in the This month?,Sales,Min,None,test
How much have we been spending on other portfolio income?,Expense,Total,None,train
Show how many transactions you've had with jeff's jalopies,Invoice,Count,None,test
How much did we spend on lawyer today?,Expense,Total,None,train
"This month, what are my account payable?",Account Payable,Total,None,test
When was the first time rondonuwu fruit and vegi paid you?,Invoice,Min,TRUE,train
"As of This year to date, what was our net income?",Sales,Total,None,train
How much did we pay mahoney mug the Last fiscal year?,Expense,Total,TRUE,train
How many invoices are past due since This fiscal year?,Invoice,Count,FALSE,train
What was our total spend for squeaky kleen car wash in the This year?,Expense,Total,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
What's the average contract size for the Sales team?,Sales,Average,None,train
What were my outgoings during the Last 12 months?,Expense,Total,None,train
Show all transactions with 0969 ocean view road,Invoice,Count,None,train
"Since This week, how many invoices have been late?",Invoice,Count,FALSE,train
What is my highest invoice from computers by jenni?,Bill,Max,None,test
How much money did we make today?,Sales,Total,None,train
"Since This week to date, how many invoices have been past due?",Invoice,Count,FALSE,train
How much we received from mastercard?,Invoice,Total,None,train
How many kookies by kathy invoices have yet to be paid?,Invoice,Count,FALSE,test
Show all transactions with bill's windsurf shop,Invoice,Count,None,train
How much money did we make Last 12 months?,Sales,Total,None,train
What is kate whelan credit for This fiscal year?,Sales,Total,FALSE,train
What are my account receivable This week to date?,Account Receivables,Total,None,train
How much has wedding planning by whitney paid us Last quarter?,Sales,Total,TRUE,train
What was the first invoice for rocks?,Invoice,Min,None,train
What were my outgoings during the Last 12 months?,Expense,Total,None,train
What was the first invoice amount for trimming?,Sales,Min,None,train
What are my AR Last 12 months?,Account Receivables,Total,None,train
"This month, what are my AR?",Account Receivables,Total,None,test
How much money does dukes basketball camp still owe?,Sales,Total,FALSE,train
What was the average bill I received from united state treasury?,Bill,Average,None,train
How much did I spend today?,Expense,Total,None,train
What are my expenses for the Last fiscal year?,Expense,Total,None,train
How much did I spend today?,Expense,Total,None,train
What was the first invoice for geeta kalapatapu?,Invoice,Min,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
How many rock fountain did I sell This year to date?,Invoice,Count,None,train
How many invoices have we sent to rondonuwu fruit and vegi?,Invoice,Count,None,test
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
What was the highest invoice amount for visa in Last quarter?,Sales,Max,None,train
How many sushi by katsuyuki invoices have yet to be paid?,Invoice,Count,FALSE,test
What is my average revenue for rago travel agency in the This year?,Sales,Average,None,train
When was bill's windsurf shop first payment?,Invoice,Min,TRUE,train
How many service did I sell This year?,Invoice,Count,None,train
What was our Net Income as of This fiscal year?,Sales,Total,None,train
What was the most recent invoice for geeta kalapatapu?,Invoice,Max,None,train
What are my expenses for the Last year?,Expense,Total,None,train
What was the lowest bill I received from fidelity?,Bill,Min,None,train
When was the last time wedding planning by whitney paid you?,Invoice,Max,TRUE,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
What is my first revenue for sushi by katsuyuki in the Last quarter?,Sales,Min,None,train
How much money does sonnenschein family store still owe?,Sales,Total,FALSE,train
What were my expenses in the This week?,Expense,Total,None,train
What was our total spend for national eye care in the This week?,Expense,Total,None,train
"As of Last year, how many invoices for mark cho remained unpaid?",Invoice,Count,FALSE,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
How much did we spend on tony rondonuwu in This fiscal year?,Expense,Total,TRUE,train
How many invoices are still oustanding for john melton as of Last month?,Invoice,Count,FALSE,train
How much money did we make Last year?,Sales,Total,None,train
What is my total revenue for gevelber photography in the This fiscal year?,Sales,Total,None,train
How many sonnenschein family store invoices are still outstanding?,Invoice,Count,FALSE,test
When was the last time shara barnett paid you?,Invoice,Max,TRUE,train
What are my AR This month?,Account Receivables,Total,None,train
How many invoices were paid Last month?,Invoice,Count,TRUE,train
Number of invoices created for penalties & settlements in Last 30 days?,Invoice,Count,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
"In the Last 7 days, what has been my first revenue from gevelber photography?",Sales,Min,None,test
What were my expenses in the This year to date?,Expense,Total,None,train
What was our total spend for brosnahan insurance agency in the Last 30 days?,Expense,Total,None,train
How much we received from building repairs in This week to date?,Invoice,Total,None,train
"In the This week to date, how many sprinkler pipes did I sell?",Invoice,Count,None,train
How much money did we spend on net expenses?,Expense,Total,None,train
What were my expenses in the This quarter?,Expense,Total,None,train
What's the total number of invoices we've issued amy's bird sanctuary?,Invoice,Count,None,train
What was our total spend for chin's gas and oil in the Last quarter?,Expense,Total,None,train
"This week to date, what are my account payable?",Account Payable,Total,None,test
When was the last time we billed for concrete,Invoice,Max,None,test
How much credit does red rock diner have This week to date,Sales,Total,FALSE,test
Display all of geeta kalapatapu's transactions,Invoice,Count,None,test
"Last 12 months, what are my AP?",Account Payable,Total,None,test
How much did we spend on fidelity in This week?,Expense,Total,TRUE,train
Display the total number of transactions with wedding planning by whitney,Invoice,Count,None,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
What is my max invoice from national eye care?,Bill,Max,None,test
Display all of cool car's transactions,Invoice,Count,None,test
When was the first time we billed for sprinkler head,Invoice,Min,None,train
When did 55 twin lane first pay?,Invoice,Min,None,train
What was our greatest expense yesterday?,Expense,Max,None,test
When did 0969 ocean view road last pay?,Invoice,Max,None,train
How much credit does sonnenschein family store have yesterday,Sales,Total,FALSE,test
How many invoices were paid Last 7 days?,Invoice,Count,TRUE,train
What are my min sales by vendor?,Sales,Min,None,train
What's the total number of invoices we've issued freeman sporting good?,Invoice,Count,None,train
When was the last time we billed for hour,Invoice,Max,None,test
"As of yesterday, how many invoices for duke basketball camp were still unpaid?",Invoice,Count,FALSE,train
What was our biggest expense This fiscal year to date?,Expense,Max,None,train
How much did we spend on tim philip masonry in This month to date?,Expense,Total,TRUE,train
"As of This quarter, what was our net income?",Sales,Total,None,train
When was the first time we billed for commissions & fees?,Expense,Min,None,train
What is my average bill for cal telephone?,Bill,Average,None,train
"This fiscal year, what are my AR?",Account Receivables,Total,None,test
What is my min revenue for geeta kalapatapu in the This year?,Sales,Min,None,train
What's the total number of invoices we've issued red rock diner?,Invoice,Count,None,train
What was the most recent invoice for travis waldron?,Invoice,Max,None,train
"In the This month to date, what has been my average revenue from kookies by kathy?",Sales,Average,None,test
What was the first invoice amount for uncategorized asset?,Sales,Min,None,train
How many travis waldron invoices haven't been paid yet?,Invoice,Count,FALSE,train
How many cool car invoices haven't been paid yet?,Invoice,Count,FALSE,train
What was the most recent invoice for gevelber photography?,Invoice,Max,None,train
Number of invoices created for bank charges?,Invoice,Count,None,train
When was the first time we billed for penalties & settlements?,Expense,Min,None,train
When was the first time we billed for pump,Invoice,Min,None,train
"As of This week, how many invoices for cool cars were still unpaid?",Invoice,Count,FALSE,train
Show number of transactions with geeta kalapatapu,Invoice,Count,None,train
What were our total payroll expenses This quarter?,Expense,Total,None,train
How much credit does amy's bird sanctuary have Last 30 days,Sales,Total,FALSE,test
What was the average invoice amount for disposal fee in Last fiscal year?,Sales,Average,None,train
Number of invoices created for truck?,Invoice,Count,None,train
What was the highest invoice amount for design?,Sales,Max,None,train
"Last fiscal year, what are my account payable?",Account Payable,Total,None,test
What was our biggest expense This week?,Expense,Max,None,train
What was our Net Income as of This fiscal year?,Sales,Total,None,train
When was the last time we billed for trimming,Invoice,Max,None,test
"This week to date, how much did we pay cal telephone?",Expense,Total,TRUE,train
"This month, what was our smallest expense?",Expense,Min,None,train
What was our greatest expense Last year?,Expense,Max,None,test
What is my max revenue for amy's bird sanctuary in the today?,Sales,Max,None,train
How many invoices are still oustanding for rondonuwu fruit and vegi as of This quarter?,Invoice,Count,FALSE,train
How much money did we make Last year?,Sales,Total,None,train
What was the most recent invoice for jeff's jalopy?,Invoice,Max,None,train
Show number of transactions with weiskopf consulting,Invoice,Count,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
How much credit does kate whelan have Last 12 months,Sales,Total,FALSE,test
Show all transactions with travis waldron,Invoice,Count,None,train
What's the total number of invoices we've issued travis waldron?,Invoice,Count,None,train
When did diego rodriguez last pay?,Invoice,Max,None,train
"Last quarter, what are my account receivable?",Account Receivables,Total,None,train
"Since Last 7 days, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What is my highest revenue for rondonuwu fruit and vegi in the This week to date?,Sales,Max,None,train
"This fiscal year to date, what was our smallest expense?",Expense,Min,None,train
What is my total sales for pye's cake in the This quarter?,Sales,Total,None,test
What was the total of our net expenses?,Expense,Total,None,train
What was our Net Income as of Last 12 months?,Sales,Total,None,train
What was our total income from amy's bird sanctuary in This quarter?,Sales,Total,None,train
What was our Net Income as of today?,Sales,Total,None,train
What is my average invoice from pg&e?,Bill,Average,None,test
How many invoices were paid Last 30 days?,Invoice,Count,TRUE,train
What was our total spend for brosnahan insurance agency in the today?,Expense,Total,None,train
How many invoices are still oustanding for video games by dan as of Last month?,Invoice,Count,FALSE,train
What was the mean bill I received from hall property?,Bill,Average,None,train
How much have we been spending on legal & professional fee?,Expense,Total,None,train
"Since Last 30 days, how many invoices have been past due?",Invoice,Count,FALSE,train
"Last 30 days, how much has red rock diner paid us?",Sales,Total,TRUE,test
What are my lowest sales by customer?,Sales,Min,None,train
What is my average revenue for red rock diner in the yesterday?,Sales,Average,None,train
wedding planning by whitney has received how many invoices?,Invoice,Count,None,train
What is my last bill for robertson & associate?,Bill,Max,None,train
How many invoices are still oustanding for dylan sollfrank as of This quarter to date?,Invoice,Count,FALSE,train
"As of This month to date, how many invoices for 0969 ocean view road remained unpaid?",Invoice,Count,FALSE,train
How many invoices were paid Last 7 days?,Invoice,Count,TRUE,train
When was the last time amy's bird sanctuary paid you?,Invoice,Max,TRUE,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
How much credit does bill's windsurf shop have This month,Sales,Total,FALSE,test
"As of Last 12 months, how many invoices for sushi by katsuyuki were still outstanding?",Invoice,Count,FALSE,test
How much money did we make Last 30 days?,Sales,Total,None,train
What was the most recent invoice for kookies by kathy?,Invoice,Max,None,train
What was the most recent invoice for pest control?,Invoice,Max,None,train
How much has geeta kalapatapu paid us Last 12 months?,Sales,Total,TRUE,train
What's the total number of invoices we've issued to sushi by katsuyuki?,Invoice,Count,None,train
What was the first invoice amount for rock fountain?,Sales,Min,None,train
When was gevelber photography first payment?,Invoice,Min,TRUE,train
How much we received from labor in This year?,Invoice,Total,None,train
What was the highest invoice amount for maintenance & repair?,Sales,Max,None,train
When was the last time video games by dan paid you?,Invoice,Max,TRUE,train
How much money did we make This quarter?,Sales,Total,None,train
How many 55 twin lane invoices are still outstanding?,Invoice,Count,FALSE,test
What was the most recent invoice for kate whelan?,Invoice,Max,None,train
Number of invoices created for bookkeeper?,Invoice,Count,None,train
What was the most recent invoice for concrete?,Invoice,Max,None,train
When did gevelber photography first pay?,Invoice,Min,None,train
Show how many transactions you've had with shara barnett,Invoice,Count,None,test
"In the This fiscal year to date, what has been my first sales from amy's bird sanctuary?",Sales,Min,None,train
"Last fiscal year, how many sprinkler pipe did I sell?",Invoice,Count,None,train
What are my account payable Last fiscal year?,Account Payable,Total,None,test
How many invoices were paid yesterday?,Invoice,Count,TRUE,train
Show number of transactions with video games by dan,Invoice,Count,None,train
How much did we spend on disposal fee This quarter?,Expense,Total,None,train
What were my expenses in the This fiscal year?,Expense,Total,None,train
How much money did we make Last 12 months?,Sales,Total,None,train
When was the last time gevelber photography paid you?,Invoice,Max,TRUE,train
What's the total number of invoices we've issued to paulsen medical supplies?,Invoice,Count,None,train
How many Adobe subscriptions do we have?,Expense,Count,None,train
"Last 30 days, what are my account payable?",Account Payable,Total,None,test
What was our smallest expense Last 7 days?,Expense,Min,None,train
What is my mean revenue for kookies by kathy in the This week?,Sales,Average,None,train
Whats our monthly spend on bob's burger joint?,Expense,Total,None,train
When was the first time john melton paid you?,Invoice,Min,TRUE,train
Show how many transactions you've had with john melton,Invoice,Count,None,test
Who are my outstanding debtors?,Invoice,List,FALSE,train
"In the This month to date, what has been my total sales from dylan sollfrank?",Sales,Total,None,train
What was our total spend for bob's burger joint in the Last 12 months?,Expense,Total,None,train
What was the first invoice for hour?,Invoice,Min,None,train
When did 0969 ocean view road last pay?,Invoice,Max,None,train
What are my AR This quarter?,Account Receivables,Total,None,train
Number of invoices created for fountain and garden lighting in Last 7 days?,Invoice,Count,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
"As of Last 30 days, how many invoices for amy's bird sanctuary were still outstanding?",Invoice,Count,FALSE,test
How many Adobe subscriptions do we have?,Expense,Count,None,train
How much money does freeman sporting good still owe?,Sales,Total,FALSE,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
"Since This fiscal year, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
